1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
1,100
2,500
2,200
3,600
4,1000
2,200
